"id";"date";"monthly_value";"quarterly_value";"yearly_value";"quarter_id";"month_id";"month";"quarter_year_name";"month_year_name"
"139";"2018-05-19";"5";"2";"2018";"2018002";"2018005";"Mai";"2 Qu 2018";"Mai 2018"
"140";"2018-05-20";"5";"2";"2018";"2018002";"2018005";"Mai";"2 Qu 2018";"Mai 2018"
"141";"2018-05-21";"5";"2";"2018";"2018002";"2018005";"Mai";"2 Qu 2018";"Mai 2018"
"142";"2018-05-22";"5";"2";"2018";"2018002";"2018005";"Mai";"2 Qu 2018";"Mai 2018"
"143";"2018-05-23";"5";"2";"2018";"2018002";"2018005";"Mai";"2 Qu 2018";"Mai 2018"
"144";"2018-05-24";"5";"2";"2018";"2018002";"2018005";"Mai";"2 Qu 2018";"Mai 2018"
"145";"2018-05-25";"5";"2";"2018";"2018002";"2018005";"Mai";"2 Qu 2018";"Mai 2018"
"146";"2018-05-26";"5";"2";"2018";"2018002";"2018005";"Mai";"2 Qu 2018";"Mai 2018"
"147";"2018-05-27";"5";"2";"2018";"2018002";"2018005";"Mai";"2 Qu 2018";"Mai 2018"
"148";"2018-05-28";"5";"2";"2018";"2018002";"2018005";"Mai";"2 Qu 2018";"Mai 2018"
"149";"2018-05-29";"5";"2";"2018";"2018002";"2018005";"Mai";"2 Qu 2018";"Mai 2018"
"150";"2018-05-30";"5";"2";"2018";"2018002";"2018005";"Mai";"2 Qu 2018";"Mai 2018"
"151";"2018-05-31";"5";"2";"2018";"2018002";"2018005";"Mai";"2 Qu 2018";"Mai 2018"
"152";"2018-06-01";"6";"2";"2018";"2018002";"2018006";"Juni";"2 Qu 2018";"Jun 2018"
"153";"2018-06-02";"6";"2";"2018";"2018002";"2018006";"Juni";"2 Qu 2018";"Jun 2018"
"154";"2018-06-03";"6";"2";"2018";"2018002";"2018006";"Juni";"2 Qu 2018";"Jun 2018"
"155";"2018-06-04";"6";"2";"2018";"2018002";"2018006";"Juni";"2 Qu 2018";"Jun 2018"
"156";"2018-06-05";"6";"2";"2018";"2018002";"2018006";"Juni";"2 Qu 2018";"Jun 2018"
"157";"2018-06-06";"6";"2";"2018";"2018002";"2018006";"Juni";"2 Qu 2018";"Jun 2018"
"158";"2018-06-07";"6";"2";"2018";"2018002";"2018006";"Juni";"2 Qu 2018";"Jun 2018"
"159";"2018-06-08";"6";"2";"2018";"2018002";"2018006";"Juni";"2 Qu 2018";"Jun 2018"
"160";"2018-06-09";"6";"2";"2018";"2018002";"2018006";"Juni";"2 Qu 2018";"Jun 2018"
"161";"2018-06-10";"6";"2";"2018";"2018002";"2018006";"Juni";"2 Qu 2018";"Jun 2018"
"162";"2018-06-11";"6";"2";"2018";"2018002";"2018006";"Juni";"2 Qu 2018";"Jun 2018"
"163";"2018-06-12";"6";"2";"2018";"2018002";"2018006";"Juni";"2 Qu 2018";"Jun 2018"
"164";"2018-06-13";"6";"2";"2018";"2018002";"2018006";"Juni";"2 Qu 2018";"Jun 2018"
"165";"2018-06-14";"6";"2";"2018";"2018002";"2018006";"Juni";"2 Qu 2018";"Jun 2018"
"166";"2018-06-15";"6";"2";"2018";"2018002";"2018006";"Juni";"2 Qu 2018";"Jun 2018"
"167";"2018-06-16";"6";"2";"2018";"2018002";"2018006";"Juni";"2 Qu 2018";"Jun 2018"
"168";"2018-06-17";"6";"2";"2018";"2018002";"2018006";"Juni";"2 Qu 2018";"Jun 2018"
"169";"2018-06-18";"6";"2";"2018";"2018002";"2018006";"Juni";"2 Qu 2018";"Jun 2018"
"170";"2018-06-19";"6";"2";"2018";"2018002";"2018006";"Juni";"2 Qu 2018";"Jun 2018"
"171";"2018-06-20";"6";"2";"2018";"2018002";"2018006";"Juni";"2 Qu 2018";"Jun 2018"
"172";"2018-06-21";"6";"2";"2018";"2018002";"2018006";"Juni";"2 Qu 2018";"Jun 2018"
"173";"2018-06-22";"6";"2";"2018";"2018002";"2018006";"Juni";"2 Qu 2018";"Jun 2018"
"174";"2018-06-23";"6";"2";"2018";"2018002";"2018006";"Juni";"2 Qu 2018";"Jun 2018"
"175";"2018-06-24";"6";"2";"2018";"2018002";"2018006";"Juni";"2 Qu 2018";"Jun 2018"
"176";"2018-06-25";"6";"2";"2018";"2018002";"2018006";"Juni";"2 Qu 2018";"Jun 2018"
"177";"2018-06-26";"6";"2";"2018";"2018002";"2018006";"Juni";"2 Qu 2018";"Jun 2018"
"178";"2018-06-27";"6";"2";"2018";"2018002";"2018006";"Juni";"2 Qu 2018";"Jun 2018"
"179";"2018-06-28";"6";"2";"2018";"2018002";"2018006";"Juni";"2 Qu 2018";"Jun 2018"
"180";"2018-06-29";"6";"2";"2018";"2018002";"2018006";"Juni";"2 Qu 2018";"Jun 2018"
"181";"2018-06-30";"6";"2";"2018";"2018002";"2018006";"Juni";"2 Qu 2018";"Jun 2018"
"182";"2018-07-01";"7";"3";"2018";"2018003";"2018007";"Juli";"3 Qu 2018";"Jul 2018"
"183";"2018-07-02";"7";"3";"2018";"2018003";"2018007";"Juli";"3 Qu 2018";"Jul 2018"
"184";"2018-07-03";"7";"3";"2018";"2018003";"2018007";"Juli";"3 Qu 2018";"Jul 2018"
"185";"2018-07-04";"7";"3";"2018";"2018003";"2018007";"Juli";"3 Qu 2018";"Jul 2018"
"186";"2018-07-05";"7";"3";"2018";"2018003";"2018007";"Juli";"3 Qu 2018";"Jul 2018"
"187";"2018-07-06";"7";"3";"2018";"2018003";"2018007";"Juli";"3 Qu 2018";"Jul 2018"
"188";"2018-07-07";"7";"3";"2018";"2018003";"2018007";"Juli";"3 Qu 2018";"Jul 2018"
"189";"2018-07-08";"7";"3";"2018";"2018003";"2018007";"Juli";"3 Qu 2018";"Jul 2018"
"190";"2018-07-09";"7";"3";"2018";"2018003";"2018007";"Juli";"3 Qu 2018";"Jul 2018"
"191";"2018-07-10";"7";"3";"2018";"2018003";"2018007";"Juli";"3 Qu 2018";"Jul 2018"
"192";"2018-07-11";"7";"3";"2018";"2018003";"2018007";"Juli";"3 Qu 2018";"Jul 2018"
"193";"2018-07-12";"7";"3";"2018";"2018003";"2018007";"Juli";"3 Qu 2018";"Jul 2018"
"194";"2018-07-13";"7";"3";"2018";"2018003";"2018007";"Juli";"3 Qu 2018";"Jul 2018"
"195";"2018-07-14";"7";"3";"2018";"2018003";"2018007";"Juli";"3 Qu 2018";"Jul 2018"
"196";"2018-07-15";"7";"3";"2018";"2018003";"2018007";"Juli";"3 Qu 2018";"Jul 2018"
"197";"2018-07-16";"7";"3";"2018";"2018003";"2018007";"Juli";"3 Qu 2018";"Jul 2018"
"198";"2018-07-17";"7";"3";"2018";"2018003";"2018007";"Juli";"3 Qu 2018";"Jul 2018"
"199";"2018-07-18";"7";"3";"2018";"2018003";"2018007";"Juli";"3 Qu 2018";"Jul 2018"
"200";"2018-07-19";"7";"3";"2018";"2018003";"2018007";"Juli";"3 Qu 2018";"Jul 2018"
"201";"2018-07-20";"7";"3";"2018";"2018003";"2018007";"Juli";"3 Qu 2018";"Jul 2018"
"202";"2018-07-21";"7";"3";"2018";"2018003";"2018007";"Juli";"3 Qu 2018";"Jul 2018"
"203";"2018-07-22";"7";"3";"2018";"2018003";"2018007";"Juli";"3 Qu 2018";"Jul 2018"
"204";"2018-07-23";"7";"3";"2018";"2018003";"2018007";"Juli";"3 Qu 2018";"Jul 2018"
"205";"2018-07-24";"7";"3";"2018";"2018003";"2018007";"Juli";"3 Qu 2018";"Jul 2018"
"206";"2018-07-25";"7";"3";"2018";"2018003";"2018007";"Juli";"3 Qu 2018";"Jul 2018"
"207";"2018-07-26";"7";"3";"2018";"2018003";"2018007";"Juli";"3 Qu 2018";"Jul 2018"
"208";"2018-07-27";"7";"3";"2018";"2018003";"2018007";"Juli";"3 Qu 2018";"Jul 2018"
"209";"2018-07-28";"7";"3";"2018";"2018003";"2018007";"Juli";"3 Qu 2018";"Jul 2018"
"210";"2018-07-29";"7";"3";"2018";"2018003";"2018007";"Juli";"3 Qu 2018";"Jul 2018"
"211";"2018-07-30";"7";"3";"2018";"2018003";"2018007";"Juli";"3 Qu 2018";"Jul 2018"
"212";"2018-07-31";"7";"3";"2018";"2018003";"2018007";"Juli";"3 Qu 2018";"Jul 2018"
"213";"2018-08-01";"8";"3";"2018";"2018003";"2018008";"August";"3 Qu 2018";"Aug 2018"
"214";"2018-08-02";"8";"3";"2018";"2018003";"2018008";"August";"3 Qu 2018";"Aug 2018"
"215";"2018-08-03";"8";"3";"2018";"2018003";"2018008";"August";"3 Qu 2018";"Aug 2018"
"216";"2018-08-04";"8";"3";"2018";"2018003";"2018008";"August";"3 Qu 2018";"Aug 2018"
"217";"2018-08-05";"8";"3";"2018";"2018003";"2018008";"August";"3 Qu 2018";"Aug 2018"
"218";"2018-08-06";"8";"3";"2018";"2018003";"2018008";"August";"3 Qu 2018";"Aug 2018"
"219";"2018-08-07";"8";"3";"2018";"2018003";"2018008";"August";"3 Qu 2018";"Aug 2018"
"220";"2018-08-08";"8";"3";"2018";"2018003";"2018008";"August";"3 Qu 2018";"Aug 2018"
"221";"2018-08-09";"8";"3";"2018";"2018003";"2018008";"August";"3 Qu 2018";"Aug 2018"
"222";"2018-08-10";"8";"3";"2018";"2018003";"2018008";"August";"3 Qu 2018";"Aug 2018"
"223";"2018-08-11";"8";"3";"2018";"2018003";"2018008";"August";"3 Qu 2018";"Aug 2018"
"224";"2018-08-12";"8";"3";"2018";"2018003";"2018008";"August";"3 Qu 2018";"Aug 2018"
"225";"2018-08-13";"8";"3";"2018";"2018003";"2018008";"August";"3 Qu 2018";"Aug 2018"
"226";"2018-08-14";"8";"3";"2018";"2018003";"2018008";"August";"3 Qu 2018";"Aug 2018"
"227";"2018-08-15";"8";"3";"2018";"2018003";"2018008";"August";"3 Qu 2018";"Aug 2018"
"228";"2018-08-16";"8";"3";"2018";"2018003";"2018008";"August";"3 Qu 2018";"Aug 2018"
"229";"2018-08-17";"8";"3";"2018";"2018003";"2018008";"August";"3 Qu 2018";"Aug 2018"
"230";"2018-08-18";"8";"3";"2018";"2018003";"2018008";"August";"3 Qu 2018";"Aug 2018"
"231";"2018-08-19";"8";"3";"2018";"2018003";"2018008";"August";"3 Qu 2018";"Aug 2018"
"232";"2018-08-20";"8";"3";"2018";"2018003";"2018008";"August";"3 Qu 2018";"Aug 2018"
"233";"2018-08-21";"8";"3";"2018";"2018003";"2018008";"August";"3 Qu 2018";"Aug 2018"
"234";"2018-08-22";"8";"3";"2018";"2018003";"2018008";"August";"3 Qu 2018";"Aug 2018"
"235";"2018-08-23";"8";"3";"2018";"2018003";"2018008";"August";"3 Qu 2018";"Aug 2018"
"236";"2018-08-24";"8";"3";"2018";"2018003";"2018008";"August";"3 Qu 2018";"Aug 2018"
"237";"2018-08-25";"8";"3";"2018";"2018003";"2018008";"August";"3 Qu 2018";"Aug 2018"
